Team,ORtg,DRtg,TS%,TOV%,ORB%,DRB%,Season,W%
Sacramento Kings,109.0,101.1,0.539,12.4,27.9,71.7,2001,0.7439024390243902
Los Angeles Lakers,109.4,101.7,0.534,11.8,28.8,72.0,2001,0.7073170731707317
San Antonio Spurs,106.5,99.7,0.539,13.8,27.2,71.9,2001,0.7073170731707317
New Jersey Nets,104.0,99.5,0.515,13.4,29.2,71.6,2001,0.6341463414634146
Dallas Mavericks,112.2,107.7,0.553,11.3,26.1,70.7,2001,0.6951219512195121
Minnesota Timberwolves,109.0,105.3,0.532,12.5,31.3,73.7,2001,0.6097560975609756
Portland Trail Blazers,107.4,104.0,0.528,13.5,31.8,73.3,2001,0.5975609756097561
Seattle SuperSonics,108.9,105.6,0.54,13.2,29.4,68.1,2001,0.5487804878048781
Boston Celtics,103.4,101.0,0.52,12.8,24.1,72.9,2001,0.5975609756097561
Detroit Pistons,104.8,102.4,0.54,14.3,24.4,70.5,2001,0.6097560975609756
Philadelphia 76ers,102.1,100.3,0.507,14.6,31.7,72.1,2001,0.524390243902439
Orlando Magic,107.0,105.3,0.533,12.6,26.3,69.2,2001,0.5365853658536586
Utah Jazz,105.6,104.6,0.529,15.4,33.5,71.7,2001,0.5365853658536586
Charlotte Hornets,104.3,103.3,0.513,13.3,30.6,72.2,2001,0.5365853658536586
Indiana Pacers,104.1,103.8,0.527,14.2,27.0,71.0,2001,0.5121951219512195
Milwaukee Bucks,106.9,107.1,0.544,13.6,25.6,70.9,2001,0.5
Los Angeles Clippers,105.5,106.0,0.519,13.8,31.3,69.9,2001,0.47560975609756095
Toronto Raptors,102.6,103.1,0.501,13.6,31.4,70.1,2001,0.5121951219512195
Phoenix Suns,103.3,104.0,0.51,13.6,30.1,70.2,2001,0.43902439024390244
Washington Wizards,104.8,106.4,0.508,12.5,30.7,71.4,2001,0.45121951219512196
Miami Heat,98.5,100.2,0.501,14.6,26.6,74.0,2001,0.43902439024390244
Cleveland Cavaliers,104.6,108.2,0.524,13.8,28.9,72.8,2001,0.35365853658536583
New York Knicks,101.5,105.9,0.514,14.0,25.6,71.9,2001,0.36585365853658536
Atlanta Hawks,101.8,106.4,0.517,14.6,27.5,70.9,2001,0.4024390243902439
Houston Rockets,103.1,108.6,0.507,13.4,29.0,69.8,2001,0.34146341463414637
Golden State Warriors,102.8,108.5,0.499,14.7,35.3,69.4,2001,0.25609756097560976
Denver Nuggets,101.4,107.8,0.495,13.6,30.6,69.9,2001,0.32926829268292684
Memphis Grizzlies,98.2,106.3,0.501,15.4,27.8,68.0,2001,0.2804878048780488
Chicago Bulls,98.2,107.6,0.499,14.6,26.6,71.4,2001,0.25609756097560976
Dallas Mavericks,110.7,102.3,0.543,10.9,25.4,70.9,2002,0.7317073170731707
Sacramento Kings,105.9,99.1,0.535,13.3,25.6,70.6,2002,0.7195121951219512
San Antonio Spurs,105.6,99.7,0.541,15.1,28.8,71.3,2002,0.7317073170731707
New Jersey Nets,103.8,98.1,0.518,13.8,28.7,73.1,2002,0.5975609756097561
Detroit Pistons,104.1,99.9,0.523,13.3,25.9,74.0,2002,0.6097560975609756
Indiana Pacers,104.6,100.8,0.522,13.7,29.0,72.3,2002,0.5853658536585366
Portland Trail Blazers,105.5,102.6,0.531,14.5,30.2,72.3,2002,0.6097560975609756
Utah Jazz,105.5,102.8,0.537,16.0,32.5,70.2,2002,0.573170731707317
Los Angeles Lakers,107.2,104.7,0.528,13.3,30.2,72.7,2002,0.6097560975609756
Philadelphia 76ers,105.0,102.5,0.52,13.7,30.3,72.7,2002,0.5853658536585366
Minnesota Timberwolves,106.1,103.8,0.528,12.9,28.2,72.9,2002,0.6219512195121951
New Orleans Hornets,103.9,101.6,0.511,13.9,31.7,73.1,2002,0.573170731707317
Houston Rockets,104.3,102.6,0.522,14.8,30.3,72.4,2002,0.524390243902439
Phoenix Suns,103.7,102.5,0.514,13.7,29.7,70.3,2002,0.5365853658536586
Orlando Magic,105.2,105.0,0.526,13.3,27.0,71.1,2002,0.5121951219512195
Milwaukee Bucks,108.8,108.6,0.543,12.2,25.6,69.9,2002,0.5121951219512195
Seattle SuperSonics,103.7,103.9,0.512,12.8,28.1,71.8,2002,0.4878048780487805
Boston Celtics,101.2,101.6,0.514,13.4,23.6,72.5,2002,0.5365853658536586
Washington Wizards,103.0,104.1,0.513,13.0,27.3,71.6,2002,0.45121951219512196
Golden State Warriors,108.3,109.5,0.526,13.9,35.0,67.9,2002,0.4634146341463415
New York Knicks,104.7,106.2,0.528,13.4,24.4,71.8,2002,0.45121951219512196
Memphis Grizzlies,103.9,107.3,0.526,14.2,27.0,68.7,2002,0.34146341463414637
Atlanta Hawks,102.3,106.1,0.527,15.7,27.9,70.4,2002,0.4268292682926829
Los Angeles Clippers,102.3,106.8,0.516,14.8,29.1,70.2,2002,0.32926829268292684
Chicago Bulls,100.2,105.6,0.512,15.4,27.7,69.5,2002,0.36585365853658536
Miami Heat,96.7,102.4,0.483,13.8,26.8,73.9,2002,0.3048780487804878
Toronto Raptors,100.5,107.0,0.497,13.6,28.2,70.7,2002,0.2926829268292683
Denver Nuggets,92.2,101.3,0.469,17.1,31.3,73.3,2002,0.2073170731707317
Cleveland Cavaliers,96.5,106.7,0.491,16.4,31.0,73.2,2002,0.2073170731707317
San Antonio Spurs,102.2,94.1,0.511,14.1,29.5,74.6,2003,0.6951219512195121
Detroit Pistons,102.0,95.4,0.511,14.7,30.1,71.8,2003,0.6585365853658537
Indiana Pacers,103.8,97.2,0.52,14.1,28.5,73.9,2003,0.7439024390243902
Minnesota Timberwolves,105.9,99.7,0.528,12.4,26.7,72.5,2003,0.7073170731707317
Sacramento Kings,110.3,104.9,0.554,13.0,26.0,69.8,2003,0.6707317073170732
Dallas Mavericks,112.1,107.4,0.536,11.1,31.4,71.6,2003,0.6341463414634146
Los Angeles Lakers,105.5,101.3,0.522,12.8,28.1,73.3,2003,0.6829268292682927
New Jersey Nets,100.8,98.0,0.515,14.4,25.9,73.9,2003,0.573170731707317
Memphis Grizzlies,104.8,102.2,0.522,13.9,29.5,68.4,2003,0.6097560975609756
Houston Rockets,100.9,99.0,0.528,16.4,26.5,74.5,2003,0.5487804878048781
Denver Nuggets,103.9,102.7,0.517,14.2,30.5,69.3,2003,0.524390243902439
Milwaukee Bucks,106.5,105.4,0.528,12.7,27.6,71.8,2003,0.5
Miami Heat,102.2,101.7,0.51,13.5,27.4,73.4,2003,0.5121951219512195
New Orleans Hornets,102.3,102.4,0.505,14.1,30.6,71.3,2003,0.5
Seattle SuperSonics,107.3,108.0,0.54,13.9,27.2,68.5,2003,0.45121951219512196
Golden State Warriors,103.0,103.8,0.517,14.1,28.4,72.1,2003,0.45121951219512196
Portland Trail Blazers,103.7,105.1,0.515,14.4,31.2,70.0,2003,0.5
Utah Jazz,101.9,103.3,0.509,16.1,34.1,72.4,2003,0.5121951219512195
Boston Celtics,102.1,103.7,0.532,15.4,25.2,69.5,2003,0.43902439024390244
New York Knicks,101.7,103.3,0.518,15.1,28.0,72.8,2003,0.47560975609756095
Philadelphia 76ers,99.1,101.9,0.505,15.5,28.2,70.7,2003,0.4024390243902439
Cleveland Cavaliers,101.4,104.2,0.498,13.7,31.1,73.0,2003,0.4268292682926829
Toronto Raptors,97.0,100.4,0.495,14.1,23.8,70.1,2003,0.4024390243902439
Phoenix Suns,101.4,105.5,0.515,14.3,26.6,69.9,2003,0.35365853658536583
Los Angeles Clippers,103.5,108.5,0.512,15.0,32.8,70.0,2003,0.34146341463414637
Atlanta Hawks,101.0,106.1,0.514,15.4,28.6,70.5,2003,0.34146341463414637
Washington Wizards,98.8,104.8,0.5,16.0,30.7,69.5,2003,0.3048780487804878
Chicago Bulls,96.6,103.4,0.486,14.9,28.1,71.4,2003,0.2804878048780488
Orlando Magic,102.7,110.4,0.504,12.8,28.1,68.7,2003,0.25609756097560976
San Antonio Spurs,107.5,98.8,0.534,13.2,29.1,73.6,2004,0.7195121951219512
Phoenix Suns,114.5,107.1,0.571,12.4,27.5,68.3,2004,0.7560975609756098
Miami Heat,110.2,103.1,0.559,13.1,27.0,74.1,2004,0.7195121951219512
Dallas Mavericks,110.3,104.1,0.545,12.5,28.6,70.2,2004,0.7073170731707317
Houston Rockets,106.2,101.7,0.534,13.5,26.3,74.5,2004,0.6219512195121951
Detroit Pistons,105.6,101.2,0.519,13.3,31.2,73.0,2004,0.6585365853658537
Seattle SuperSonics,112.2,109.6,0.546,13.0,32.4,71.3,2004,0.6341463414634146
