Team,FG%,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
Los Angeles Clippers,0.474,0.352,0.525,0.73,10.5,32.5,43.0,24.6,8.6,4.8,13.9,21.5,107.9,2013
Houston Rockets,0.472,0.358,0.529,0.712,11.2,34.1,45.3,21.4,7.6,5.6,16.1,20.4,107.7,2013
Minnesota Timberwolves,0.444,0.341,0.478,0.778,12.5,32.2,44.7,23.9,8.8,3.6,13.9,18.3,106.9,2013
Portland Trail Blazers,0.45,0.372,0.481,0.815,12.5,34.0,46.4,23.2,5.5,4.7,13.7,19.2,106.7,2013
Oklahoma City Thunder,0.471,0.361,0.512,0.806,10.8,33.9,44.7,21.9,8.3,6.1,15.3,22.7,106.2,2013
San Antonio Spurs,0.486,0.397,0.517,0.785,9.3,34.0,43.3,25.2,7.4,5.1,14.4,18.2,105.4,2013
Phoenix Suns,0.463,0.372,0.503,0.758,11.3,31.7,43.0,19.1,8.4,4.6,15.3,21.9,105.2,2013
Dallas Mavericks,0.474,0.384,0.508,0.795,10.2,30.7,40.9,23.6,8.6,4.3,13.5,20.0,104.8,2013
Denver Nuggets,0.447,0.358,0.481,0.726,12.3,33.1,45.4,22.4,7.5,5.6,15.9,23.0,104.4,2013
Golden State Warriors,0.462,0.38,0.496,0.753,10.9,34.4,45.3,23.3,7.8,5.0,15.2,21.8,104.3,2013
Los Angeles Lakers,0.45,0.381,0.478,0.757,9.1,32.0,41.0,24.5,7.5,5.4,15.1,19.8,103.0,2013
Miami Heat,0.501,0.364,0.558,0.76,7.6,29.2,36.9,22.5,8.9,4.5,14.8,19.5,102.2,2013
Toronto Raptors,0.445,0.372,0.475,0.782,11.4,31.1,42.5,21.2,7.0,4.2,14.1,23.0,101.3,2013
Atlanta Hawks,0.458,0.363,0.502,0.781,8.7,31.3,40.0,24.9,8.3,4.0,15.3,19.2,101.0,2013
Detroit Pistons,0.447,0.321,0.483,0.67,14.6,30.8,45.4,20.9,8.4,4.8,14.5,20.3,101.0,2013
Washington Wizards,0.459,0.38,0.485,0.731,10.8,31.4,42.2,23.3,8.1,4.6,14.7,20.4,100.7,2013
